Town,Total Population,Total Population 90% MoE,Total Population in Poverty,Total Population in Poverty 90% MOE,Pct Population in Poverty,Pct Population in Poverty 90% MOE,Total Population Income 1-2x Poverty,Total Population Income 1-2x Poverty 90% MOE,Pct Population Income 1-2x Poverty,Pct Population Income 1-2x Poverty 90% MOE,Total Population Under 18,Total Population Under 18 90% MOE,Total Children in Poverty,Total Children in Poverty 90% MOE,Pct Children in Poverty,Pct Children in Poverty 90% MOE,Total Children Income 1-2x Poverty,Total Children Income 1-2x Poverty 90% MOE,Pct Children Income 1-2x Poverty,Pct Children Income 1-2x Poverty 90% MOE
East Hartford,51241,56,6767,1021,0.134,0.02,10326,1388,0.204,0.027,11323,728,1919,413,0.172,0.038,3012,471,0.269,0.045
East Windsor,11281,29,608,269,0.055,0.024,1609,591,0.145,0.053,2303,416,138,101,0.06,0.046,544,311,0.238,0.143
Enfield,44699,54,2860,548,0.07,0.013,4166,666,0.102,0.016,8274,565,612,224,0.075,0.028,866,234,0.106,0.029
Farmington,25429,28,1260,334,0.05,0.013,1346,345,0.053,0.014,5808,475,199,123,0.034,0.021,245,116,0.042,0.02
Glastonbury,34551,28,1097,335,0.032,0.01,2587,497,0.075,0.015,8884,560,260,151,0.029,0.017,704,231,0.079,0.027
Granby,11284,28,228,107,0.02,0.01,476,171,0.042,0.015,2710,346,31,61,0.011,0.023,48,82,0.018,0.031
Hartford,125130,80,39452,2133,0.336,0.018,30335,2124,0.258,0.018,32216,1118,14256,953,0.45,0.034,9525,835,0.301,0.028
Hartland,2257,120,115,56,0.051,0.025,188,78,0.084,0.035,519,73,17,32,0.033,0.064,84,45,0.165,0.09
Manchester,58196,34,6031,1033,0.105,0.018,9142,1233,0.159,0.021,12555,761,2085,481,0.167,0.04,2960,489,0.236,0.042
Marlborough,6398,30,63,66,0.01,0.011,479,386,0.077,0.062,1674,282,0,51,0,0.031,253,171,0.155,0.107
New Britain,73112,35,15658,1478,0.224,0.021,16535,1508,0.236,0.022,16862,884,5184,623,0.312,0.041,5062,640,0.304,0.042
Newington,30606,34,1329,321,0.044,0.011,2869,602,0.095,0.02,5721,448,271,128,0.048,0.023,791,250,0.14,0.045
Plainville,17767,24,1175,396,0.067,0.022,2783,691,0.158,0.039,3675,451,316,204,0.087,0.057,911,335,0.25,0.097
Rocky Hill,19743,47,1507,468,0.078,0.024,1968,539,0.101,0.028,4069,480,295,183,0.072,0.046,435,197,0.107,0.05
Simsbury,23591,31,448,145,0.019,0.006,1365,419,0.058,0.018,6352,440,33,60,0.005,0.009,474,226,0.075,0.036
Southington,43288,25,1832,416,0.043,0.01,3469,566,0.081,0.013,9324,545,506,197,0.055,0.022,734,208,0.079,0.023
