"Town","Pct Population 1-2x FPL Level","90% MoE"
"Southbury",0.104145290375539,0.0266889104319895
"Wallingford",0.0840014494723015,0.0136781979356197
"Waterbury",0.206561832653854,0.0160650011086308
"West Haven",0.191564780589518,0.0246537757283801
"Wolcott",0.0648422837076951,0.0204885082152485
"Woodbridge",0.0608450704225352,0.0283133317447267
"Bozrah",0.107704101188195,0.0568373751848285
"Colchester",0.0886823263409119,0.0268178804567159
"East Lyme",0.074468085106383,0.0154042728145577
"Franklin",0.0835482207323363,0.033311840933076
"Griswold",0.163335572724219,0.0489291332464993
"Groton",0.146725389446212,0.0222113092505025
"Lebanon",0.0769230769230769,0.0318826884082982
"Ledyard",0.071044061939257,0.0296102976842494
"Lisbon",0.121016166281755,0.0484099821511202
"Lyme",0.119983450558544,0.0789089601706893
"Montville",0.111420147966847,0.032006492784844
"New London",0.202030027489956,0.033545325524057
