"Town","Percent Population below Poverty Level","90% MoE"
"Colebrook",0.0364864864864865,0.0183950547356184
"Cornwall",0.123107307439105,0.0683024174664679
"Goshen",0.114798509989841,0.0608852337719983
"Harwinton",0.0421783235451148,0.0243696205321914
"Kent",0.0944825099170573,0.0446645332505102
"Litchfield",0.0685211946050096,0.027030690396866
"Morris",0.0568421052631579,0.0314351442935526
"New Hartford",0.0239849732697587,0.0154659646086075
"New Milford",0.0575903005809548,0.0158886403657573
"Norfolk",0.072289156626506,0.0352476011979907
"North Canaan",0.092845786963434,0.054165188812411
"Plymouth",0.0655683417501449,0.0239019870508542
"Roxbury",0.0321599304650152,0.016542887188859
"Salisbury",0.0468217934165721,0.0258138195593755
"Sharon",0.0632205280773522,0.0379480378449032
"Thomaston",0.0287482274075029,0.0120123038508139
"Torrington",0.110638659749979,0.0195663159796319
"Warren",0.0726902173913044,0.0393362645097005
"Washington",0.0561899038461538,0.0287566134296231
"Watertown",0.0325690346412001,0.0105135443263982
"Winchester",0.0695707530010913,0.025027427920219
"Woodbury",0.0587285570131181,0.0230038476029521
"Chester",0.0502102399208509,0.0235467292547329
"Clinton",0.0765247848930176,0.0252843792965471
"Cromwell",0.0415260454878943,0.0200358098348477
"Deep River",0.0283409635927622,0.0180241601939434
"Durham",0.00941722396615259,0.00732391864507656
"East Haddam",0.0559185029343373,0.0347883621591443
"East Hampton",0.0348230763058654,0.0144548625738037
"Essex",0.0516928657799274,0.0297596936535536
"Haddam",0.0388955582232893,0.0267021060384964
"Killingworth",0.00323027226580526,0.00571009606893446
"Middlefield",0.0282869427472279,0.0125520552715578
"Middletown",0.117268542902288,0.0156626310513734
"Old Saybrook",0.0540915395284327,0.0268110184569897
"Portland",0.0513011152416357,0.0243647329418292
"Westbrook",0.0485564304461942,0.0263411053352983
"Ansonia",0.18555404130412,0.0497075316929536
"Beacon Falls",0.0313017555481948,0.022021515262811
"Bethany",0.0334833483348335,0.0160205124980983
"Branford",0.071667205517836,0.0156614691636928
"Cheshire",0.0248612569371531,0.00790041065035742
"Derby",0.132778438367023,0.0496973536879708
"East Haven",0.0981240481794268,0.0214464635366772
"Guilford",0.0371422132071219,0.0103059397373544
"Hamden",0.0815761636107193,0.0152675351066606
"Madison",0.0285809423386425,0.0200697567814538
"Meriden",0.144381711873209,0.0189188196641818
"Middlebury",0.0362763403574286,0.0133070927346353
"Milford",0.0530135629381286,0.00965848929098076
"Naugatuck",0.0992641202892549,0.0224798143662603
"New Haven",0.265256258925108,0.0175808787340592
"North Branford",0.0297881267044263,0.0160528223762605
"North Haven",0.0386953423049512,0.0115555445440418
"Orange",0.0242970439798125,0.0112241659511021
"Oxford",0.0397043792751002,0.024604835375634
"Prospect",0.0375617085211419,0.0157810107557514
"Seymour",0.0722582222765619,0.0277543074349357
"Southbury",0.0589985635132362,0.0284015139359812
"Wallingford",0.0607872446437469,0.0128273180711658
"Waterbury",0.233398970149116,0.0184580901132645
"West Haven",0.115856316936783,0.0213534196013139
"Wolcott",0.0288793364412424,0.0141874904712196
"Woodbridge",0.0262535211267606,0.0265686015694682
"Bozrah",0.0590264469145266,0.0395609832385275
"Colchester",0.032282376585856,0.0167125413229443
"East Lyme",0.0332592938975918,0.0108911970064396
"Franklin",0.0407426508509541,0.0202780525511141
"Griswold",0.0828014779979846,0.0291317795424097
"Groton",0.086398608052633,0.0165414371545793
"Lebanon",0.048230632600082,0.0219114978524654
"Ledyard",0.0388781816973483,0.0206339799335789
"Lisbon",0.0272517321016166,0.0193357475456591
"Lyme",0.0368225072403806,0.0224592945782718
"Montville",0.052845302330756,0.0239325505367442
"New London",0.249058997673927,0.0356385145618055
"North Stonington",0.056732223903177,0.045865404959013
"Norwich",0.149652378332416,0.026989695076095
"Old Lyme",0.0306700013163091,0.0197992247768387
"Preston",0.101662807829931,0.058680188074673
"Salem",0.0267792521109771,0.0174521669153168
"Sprague",0.0868680013573125,0.0556927124129527
