"Town","Total Population","MoE Total Population","Ages 0-17","MoE Ages 0-17","Pct Ages 0-17","MoE Pct Ages 0-17","Ages 65+","MoE Ages 65+","Pct Ages 65+","MoE Pct Ages 65+","Hispanic Population","MoE Hispanic Population","Pct Hispanic","MoE Pct Hispanic","White Population","MoE White Population","Pct White","MoE Pct White","Black Population","MoE Black Population","Pct Black","MoE Pct Black","Other Race Population","MoE Other Race Population","Pct Other Race","MoE Pct Other Race","Homeowners","MoE Homeowners","Homeownership Rate","MoE Homeownership Rate","Foreign-born Population","MoE Foreign-born Population","Pct Foreign-born","MoE Pct Foreign-born","Poverty Status Determined","MoE Poverty Status Determined","Population in Poverty","MoE Population in Poverty","Poverty Rate","MoE Poverty Rate","Population Low Income","MoE Population Low Income","Pct Low Income","MoE Pct Low Income","Ages 0-17 In Poverty","MoE Ages 0-17 In Poverty","Pct Ages 0-17 in Poverty","MoE Pct Ages 0-17 in Poverty","Ages 0-17 Income 1-2x Poverty","MoE Ages 0-17 Income 1-2x Poverty","Pct Ages 0-17 Income 1-2x Poverty","MoE Pct Ages 0-17 Income 1-2x Poverty","Ages 65+ In Poverty","MoE Ages 65+ In Poverty","Pct Ages 65+ in Poverty","MoE Pct Ages 65+ in Poverty","Ages 65+ Income 1-2x Poverty","MoE Ages 65+ Income 1-2x Poverty","Pct Ages 65+ Income 1-2x Poverty","MoE Pct Ages 65+ Income 1-2x Poverty"
"New Canaan",19938,41,6420,522,0.322,0.026,2920,338,0.146,0.017,704,256,0.035,0.013,18171,395,0.911,0.02,187,180,0.009,0.009,876,338,0.044,0.017,5521,272,0.812,0.029,2117,352,0.106,0.018,19845,65,465,178,0.023,0.009,942,425,0.047,0.021,64,72,0.01,0.011,408,237,0.064,0.037,110,74,0.038,0.026,113,71,0.039,0.025
"New Fairfield",14010,37,3577,344,0.255,0.025,1835,205,0.131,0.015,975,382,0.07,0.027,12594,467,0.899,0.033,48,50,0.003,0.004,393,245,0.028,0.018,4559,206,0.956,0.02,1356,291,0.097,0.021,13926,97,217,98,0.016,0.007,963,321,0.069,0.023,49,65,0.014,0.019,232,115,0.066,0.034,24,40,0.013,0.022,232,90,0.126,0.051
"Newtown",27772,33,7087,485,0.255,0.017,3860,373,0.139,0.013,1840,488,0.066,0.018,24456,566,0.881,0.02,383,164,0.014,0.006,1093,277,0.039,0.01,8557,302,0.899,0.017,2217,381,0.08,0.014,26996,181,1241,524,0.046,0.019,2484,554,0.092,0.021,310,176,0.044,0.025,648,216,0.092,0.031,86,59,0.023,0.016,705,207,0.189,0.059
"Norwalk",86499,49,16661,888,0.193,0.01,12144,635,0.14,0.007,18164,1229,0.21,0.014,51073,1468,0.59,0.017,11468,1232,0.133,0.014,5794,916,0.067,0.011,23095,708,0.637,0.016,20095,1308,0.232,0.015,85946,192,8343,1056,0.097,0.012,9932,1282,0.116,0.015,1823,387,0.11,0.024,2469,463,0.149,0.029,861,198,0.073,0.017,1923,292,0.162,0.026
"Redding",9207,34,2446,282,0.266,0.031,1684,211,0.183,0.023,244,105,0.027,0.011,8543,210,0.928,0.023,61,45,0.007,0.005,359,157,0.039,0.017,2847,148,0.825,0.027,761,213,0.083,0.023,9181,38,319,171,0.035,0.019,311,142,0.034,0.015,74,93,0.03,0.038,45,68,0.018,0.028,69,56,0.041,0.034,106,67,0.064,0.041
"Ridgefield",24831,48,7593,535,0.306,0.022,3368,326,0.136,0.013,1216,413,0.049,0.017,22467,521,0.905,0.021,102,76,0.004,0.003,1046,393,0.042,0.016,7180,237,0.828,0.016,2367,405,0.095,0.016,24713,111,755,253,0.031,0.01,1014,333,0.041,0.013,197,106,0.026,0.014,173,124,0.023,0.016,153,89,0.047,0.028,476,136,0.146,0.044
"Shelton",40006,41,7734,616,0.193,0.015,7523,498,0.188,0.012,2146,398,0.054,0.01,35710,592,0.893,0.015,628,323,0.016,0.008,1522,327,0.038,0.008,12214,354,0.812,0.012,4519,579,0.113,0.014,39492,172,1859,374,0.047,0.009,2587,556,0.066,0.014,438,147,0.057,0.02,582,196,0.076,0.026,255,105,0.036,0.015,894,231,0.125,0.034
"Sherman",3627,23,876,193,0.242,0.053,663,120,0.183,0.033,33,26,0.009,0.007,3526,67,0.972,0.019,0,12,0,0.003,68,54,0.019,0.015,1251,101,0.915,0.047,291,90,0.08,0.025,3599,49,83,67,0.023,0.019,211,123,0.059,0.034,47,49,0.055,0.059,39,56,0.046,0.067,0,29,0,0.044,39,55,0.059,0.083
"Stamford",123995,56,27509,1170,0.222,0.009,15826,760,0.128,0.006,32850,2187,0.265,0.018,62319,1951,0.503,0.016,17274,1423,0.139,0.011,11552,1172,0.093,0.009,24920,738,0.548,0.013,43844,1739,0.354,0.014,122863,290,13695,1670,0.111,0.014,18976,1857,0.154,0.015,3991,705,0.148,0.027,5221,687,0.193,0.027,1412,312,0.092,0.021,2245,342,0.147,0.023
"Stratford",51694,39,10690,644,0.207,0.012,9286,528,0.18,0.01,7138,699,0.138,0.014,34345,1101,0.664,0.021,7336,793,0.142,0.015,2875,690,0.056,0.013,16602,517,0.818,0.021,6355,689,0.123,0.013,51270,132,3211,561,0.063,0.011,7109,1087,0.139,0.021,810,248,0.077,0.024,1831,376,0.174,0.037,528,153,0.059,0.017,1664,297,0.185,0.034
"Trumbull",36251,60,9227,569,0.255,0.016,6761,443,0.187,0.012,2293,400,0.063,0.011,30757,567,0.848,0.016,978,324,0.027,0.009,2223,459,0.061,0.013,10762,302,0.89,0.015,3889,421,0.107,0.012,35568,216,737,218,0.021,0.006,2223,497,0.062,0.014,110,81,0.012,0.009,411,147,0.045,0.016,191,89,0.031,0.014,940,201,0.151,0.033
"Weston",10261,24,3473,308,0.338,0.03,1227,177,0.12,0.017,304,196,0.03,0.019,9274,288,0.904,0.028,130,119,0.013,0.012,553,190,0.054,0.019,3002,129,0.952,0.021,1054,216,0.103,0.021,10252,28,182,103,0.018,0.01,174,113,0.017,0.011,36,58,0.01,0.017,59,79,0.017,0.023,15,48,0.012,0.039,17,57,0.014,0.047
"Westport",26769,41,7633,562,0.285,0.021,4451,340,0.166,0.013,901,262,0.034,0.01,23718,459,0.886,0.017,280,119,0.01,0.004,1870,310,0.07,0.012,8179,237,0.863,0.015,3181,460,0.119,0.017,26546,132,933,272,0.035,0.01,859,328,0.032,0.012,241,106,0.032,0.014,158,108,0.021,0.014,103,51,0.024,0.012,169,76,0.039,0.018
"Wilton",18353,30,5928,443,0.323,0.024,2475,272,0.135,0.015,491,185,0.027,0.01,16446,323,0.896,0.018,96,74,0.005,0.004,1320,274,0.072,0.015,5264,197,0.884,0.02,1863,330,0.102,0.018,18153,137,667,306,0.037,0.017,684,224,0.038,0.012,204,134,0.034,0.023,190,105,0.032,0.018,81,68,0.035,0.03,244,87,0.105,0.04
"Avon",18205,27,4546,398,0.25,0.022,3096,322,0.17,0.018,471,203,0.026,0.011,16288,305,0.895,0.017,131,108,0.007,0.006,1315,277,0.072,0.015,6115,242,0.847,0.026,2154,382,0.118,0.021,18007,84,744,291,0.041,0.016,830,261,0.046,0.014,216,127,0.048,0.028,162,118,0.036,0.026,72,93,0.024,0.032,379,131,0.128,0.047
"Berlin",20179,28,4295,432,0.213,0.021,3522,384,0.175,0.019,387,186,0.019,0.009,18454,562,0.915,0.028,270,359,0.013,0.018,1068,462,0.053,0.023,6571,257,0.866,0.02,2214,504,0.11,0.025,20113,45,959,424,0.048,0.021,1569,510,0.078,0.025,289,167,0.067,0.039,255,209,0.059,0.049,151,92,0.043,0.027,707,221,0.203,0.067
"Bloomfield",20562,37,3121,397,0.152,0.019,4816,410,0.234,0.02,816,338,0.04,0.016,7570,482,0.368,0.023,11010,639,0.535,0.031,1166,391,0.057,0.019,6227,349,0.732,0.03,4567,549,0.222,0.027,20107,159,1365,389,0.068,0.019,2387,764,0.119,0.038,190,118,0.061,0.038,451,181,0.145,0.06,290,112,0.065,0.026,605,152,0.135,0.036
"Bristol",60536,32,12556,757,0.207,0.013,9360,573,0.155,0.009,6489,873,0.107,0.014,50012,1000,0.826,0.017,1633,428,0.027,0.007,2402,501,0.04,0.008,16722,636,0.664,0.021,6010,788,0.099,0.013,59880,205,6298,888,0.105,0.015,8545,1224,0.143,0.02,1802,395,0.145,0.033,2203,458,0.177,0.038,743,198,0.083,0.023,1982,322,0.222,0.038
"Burlington",9384,45,2531,299,0.27,0.032,959,170,0.102,0.018,292,186,0.031,0.02,8693,251,0.926,0.027,123,86,0.013,0.009,276,149,0.029,0.016,3230,143,0.933,0.02,811,245,0.086,0.026,9384,45,337,178,0.036,0.019,402,154,0.043,0.016,101,81,0.04,0.032,45,69,0.018,0.027,46,53,0.048,0.056,126,94,0.131,0.101
"Canton",10304,19,2460,321,0.239,0.031,1677,222,0.163,0.022,444,308,0.043,0.03,9706,319,0.942,0.031,51,42,0.005,0.004,103,80,0.01,0.008,3338,180,0.834,0.032,513,167,0.05,0.016,10215,93,386,180,0.038,0.018,593,220,0.058,0.022,57,84,0.023,0.034,137,116,0.056,0.048,69,64,0.043,0.041,175,87,0.11,0.056
"East Granby",5036,119,1128,226,0.224,0.045,804,165,0.16,0.033,162,167,0.032,0.033,4383,313,0.87,0.065,276,218,0.055,0.043,215,167,0.043,0.033,1641,141,0.765,0.06,315,133,0.063,0.026,5036,119,180,156,0.036,0.031,328,159,0.065,0.032,67,74,0.059,0.066,21,72,0.019,0.064,39,57,0.049,0.071,113,81,0.141,0.105
"East Hartford",51241,56,11323,728,0.221,0.014,6742,453,0.132,0.009,13849,942,0.27,0.018,20409,968,0.398,0.019,11894,880,0.232,0.017,5089,936,0.099,0.018,11816,448,0.58,0.016,11153,1014,0.218,0.02,50640,205,6767,1021,0.134,0.02,10326,1388,0.204,0.027,1919,413,0.172,0.038,3012,471,0.269,0.045,626,168,0.097,0.027,1379,240,0.215,0.04
"East Windsor",11281,29,2303,416,0.204,0.037,1548,231,0.137,0.021,390,232,0.035,0.021,8631,681,0.765,0.06,959,455,0.085,0.04,1301,485,0.115,0.043,3107,309,0.687,0.058,1462,461,0.13,0.041,11082,128,608,269,0.055,0.024,1609,591,0.145,0.053,138,101,0.06,0.046,544,311,0.238,0.143,36,47,0.025,0.033,244,121,0.17,0.088
"Enfield",44699,54,8274,565,0.185,0.013,6924,420,0.155,0.009,3367,648,0.075,0.014,37392,775,0.837,0.017,2231,399,0.05,0.009,1709,392,0.038,0.009,12494,363,0.762,0.012,2592,473,0.058,0.011,40910,586,2860,548,0.07,0.013,4166,666,0.102,0.016,612,224,0.075,0.028,866,234,0.106,0.029,419,141,0.063,0.022,1382,262,0.207,0.042
"Farmington",25429,28,5808,475,0.228,0.019,4371,367,0.172,0.014,739,272,0.029,0.011,21024,783,0.827,0.031,576,244,0.023,0.01,3090,684,0.122,0.027,7936,323,0.767,0.022,3736,536,0.147,0.021,25230,84,1260,334,0.05,0.013,1346,345,0.053,0.014,199,123,0.034,0.021,245,116,0.042,0.02,214,100,0.051,0.024,518,134,0.123,0.033
