"Town","Total Population","MoE Total Population","Ages 0-17","MoE Ages 0-17","Pct Ages 0-17","MoE Pct Ages 0-17","Ages 65+","MoE Ages 65+","Pct Ages 65+","MoE Pct Ages 65+","Hispanic Population","MoE Hispanic Population","Pct Hispanic","MoE Pct Hispanic","White Population","MoE White Population","Pct White","MoE Pct White","Black Population","MoE Black Population","Pct Black","MoE Pct Black","Other Race Population","MoE Other Race Population","Pct Other Race","MoE Pct Other Race","Homeowners","MoE Homeowners","Homeownership Rate","MoE Homeownership Rate","Foreign-born Population","MoE Foreign-born Population","Pct Foreign-born","MoE Pct Foreign-born","Poverty Status Determined","MoE Poverty Status Determined","Population in Poverty","MoE Population in Poverty","Poverty Rate","MoE Poverty Rate","Population Low Income","MoE Population Low Income","Pct Low Income","MoE Pct Low Income","Ages 0-17 In Poverty","MoE Ages 0-17 In Poverty","Pct Ages 0-17 in Poverty","MoE Pct Ages 0-17 in Poverty","Ages 0-17 Income 1-2x Poverty","MoE Ages 0-17 Income 1-2x Poverty","Pct Ages 0-17 Income 1-2x Poverty","MoE Pct Ages 0-17 Income 1-2x Poverty","Ages 65+ In Poverty","MoE Ages 65+ In Poverty","Pct Ages 65+ in Poverty","MoE Pct Ages 65+ in Poverty","Ages 65+ Income 1-2x Poverty","MoE Ages 65+ Income 1-2x Poverty","Pct Ages 65+ Income 1-2x Poverty","MoE Pct Ages 65+ Income 1-2x Poverty"
"Colebrook",1523,119,306,59,0.201,0.042,239,49,0.157,0.035,21,25,0.014,0.016,1474,109,0.968,0.104,4,6,0.003,0.004,24,27,0.016,0.018,546,52,0.932,0.036,41,31,0.027,0.021,1480,109,54,28,0.036,0.018,157,76,0.106,0.051,17,36,0.058,0.124,34,50,0.116,0.171,6,25,0.025,0.104,20,32,0.084,0.136
"Cornwall",1519,188,374,80,0.246,0.061,269,43,0.177,0.036,17,24,0.011,0.016,1460,187,0.961,0.171,0,12,0,0.008,42,34,0.028,0.023,486,51,0.779,0.057,77,30,0.051,0.021,1519,188,187,106,0.123,0.068,168,57,0.111,0.035,97,61,0.259,0.177,37,38,0.099,0.105,22,24,0.082,0.092,25,30,0.093,0.111
"Goshen",2953,29,571,161,0.193,0.054,539,121,0.183,0.041,97,90,0.033,0.03,2817,100,0.954,0.035,1,2,0,0.001,38,37,0.013,0.012,1096,107,0.895,0.051,52,39,0.018,0.013,2953,29,339,180,0.115,0.061,235,120,0.08,0.041,47,65,0.082,0.115,40,50,0.07,0.089,71,50,0.132,0.099,80,60,0.148,0.118
"Harwinton",5636,54,1177,181,0.209,0.032,968,149,0.172,0.027,0,17,0,0.003,5511,134,0.978,0.026,0,17,0,0.003,125,123,0.022,0.022,1992,93,0.959,0.02,270,111,0.048,0.02,5619,55,237,137,0.042,0.024,356,168,0.063,0.03,88,78,0.076,0.068,59,72,0.051,0.062,37,41,0.038,0.043,101,76,0.104,0.08
"Kent",2964,16,564,151,0.19,0.051,713,120,0.241,0.04,0,12,0,0.004,2912,76,0.982,0.026,30,64,0.01,0.022,22,29,0.007,0.01,738,135,0.616,0.093,114,52,0.038,0.018,2773,71,262,124,0.094,0.045,375,182,0.135,0.065,68,67,0.121,0.124,88,79,0.156,0.147,13,29,0.021,0.046,95,49,0.151,0.083
"Litchfield",8406,22,1889,226,0.225,0.027,1494,159,0.178,0.019,152,78,0.018,0.009,8036,124,0.956,0.015,25,23,0.003,0.003,193,100,0.023,0.012,2645,189,0.788,0.042,328,83,0.039,0.01,8304,34,569,224,0.069,0.027,831,229,0.1,0.028,187,93,0.1,0.052,223,108,0.12,0.06,77,40,0.054,0.028,189,62,0.132,0.045
"Morris",2380,127,498,90,0.209,0.039,306,70,0.129,0.03,43,30,0.018,0.013,2326,132,0.977,0.076,8,14,0.003,0.006,3,25,0.001,0.01,810,64,0.862,0.031,122,70,0.051,0.03,2375,127,135,75,0.057,0.031,289,115,0.122,0.048,12,38,0.024,0.078,66,55,0.134,0.113,18,31,0.059,0.102,38,38,0.124,0.128
"New Hartford",6932,23,1675,297,0.242,0.043,931,200,0.134,0.029,75,67,0.011,0.01,6743,108,0.973,0.016,24,33,0.003,0.005,90,78,0.013,0.011,2494,173,0.942,0.031,433,193,0.062,0.028,6921,28,166,107,0.024,0.015,519,200,0.075,0.029,40,57,0.024,0.034,0,66,0,0.04,49,56,0.053,0.061,207,132,0.222,0.149
"New Milford",27983,27,6523,514,0.233,0.018,3425,353,0.122,0.013,1778,519,0.064,0.019,24480,602,0.875,0.022,761,315,0.027,0.011,964,294,0.034,0.011,8593,373,0.803,0.025,2730,491,0.098,0.018,27713,149,1596,440,0.058,0.016,2798,677,0.101,0.024,369,150,0.057,0.024,874,290,0.135,0.046,94,70,0.029,0.022,514,133,0.159,0.044
"Norfolk",1497,154,311,72,0.208,0.052,351,54,0.234,0.043,29,33,0.019,0.022,1371,145,0.916,0.135,14,13,0.009,0.009,83,60,0.055,0.041,437,46,0.716,0.015,86,48,0.057,0.033,1494,154,108,54,0.072,0.035,224,98,0.15,0.064,43,43,0.14,0.143,43,47,0.14,0.157,7,22,0.02,0.063,60,32,0.171,0.096
"North Canaan",3286,17,642,170,0.195,0.052,767,168,0.233,0.051,117,98,0.036,0.03,3006,163,0.915,0.05,36,49,0.011,0.015,127,136,0.039,0.041,986,138,0.754,0.09,257,154,0.078,0.047,3145,69,292,170,0.093,0.054,571,260,0.182,0.082,105,77,0.173,0.134,132,129,0.217,0.219,20,28,0.03,0.042,165,79,0.244,0.135
"Plymouth",12148,38,2669,304,0.22,0.025,1583,202,0.13,0.017,386,170,0.032,0.014,11533,214,0.949,0.018,32,35,0.003,0.003,197,115,0.016,0.009,4035,209,0.859,0.024,681,234,0.056,0.019,12079,49,792,289,0.066,0.024,1473,446,0.122,0.037,234,130,0.088,0.05,497,188,0.187,0.074,79,48,0.052,0.032,198,88,0.129,0.06
"Roxbury",2301,204,394,94,0.171,0.044,455,80,0.198,0.039,89,65,0.039,0.028,2190,211,0.952,0.125,0,12,0,0.005,22,28,0.01,0.012,809,71,0.833,0.054,102,40,0.044,0.018,2301,204,74,39,0.032,0.017,163,79,0.071,0.034,0,36,0,0.091,41,51,0.104,0.132,20,27,0.044,0.059,67,41,0.147,0.092
"Salisbury",3722,19,611,184,0.164,0.049,1243,213,0.334,0.057,130,85,0.035,0.023,3371,166,0.906,0.045,116,99,0.031,0.027,105,81,0.028,0.022,1162,195,0.753,0.11,185,96,0.05,0.026,3524,67,165,91,0.047,0.026,456,220,0.129,0.062,0,36,0,0.061,95,93,0.162,0.163,48,41,0.04,0.035,185,94,0.156,0.086
"Sharon",2769,18,412,114,0.149,0.041,708,162,0.256,0.058,29,29,0.01,0.01,2558,157,0.924,0.057,3,7,0.001,0.003,179,124,0.065,0.045,1013,129,0.822,0.061,173,80,0.062,0.029,2689,90,170,102,0.063,0.038,462,193,0.172,0.072,0,36,0,0.089,110,86,0.273,0.232,28,43,0.044,0.069,128,86,0.201,0.143
"Thomaston",7831,18,1548,223,0.198,0.028,1039,183,0.133,0.023,154,104,0.02,0.013,7313,222,0.934,0.028,61,50,0.008,0.006,303,170,0.039,0.022,2417,149,0.793,0.034,233,88,0.03,0.011,7757,56,223,93,0.029,0.012,731,230,0.094,0.03,28,56,0.019,0.038,161,107,0.109,0.075,44,47,0.042,0.046,194,109,0.187,0.11
"Torrington",36061,38,7141,522,0.198,0.014,6364,424,0.176,0.012,3055,498,0.085,0.014,30341,745,0.841,0.021,541,229,0.015,0.006,2124,425,0.059,0.012,10414,413,0.68,0.021,3504,481,0.097,0.013,35277,220,3903,691,0.111,0.02,5957,763,0.169,0.022,976,267,0.14,0.04,1362,320,0.196,0.048,390,113,0.066,0.02,1368,224,0.233,0.041
"Warren",1475,124,312,65,0.212,0.048,262,42,0.178,0.032,44,30,0.03,0.02,1412,129,0.957,0.119,0,12,0,0.008,19,25,0.013,0.017,518,42,0.871,0.039,81,39,0.055,0.027,1472,124,107,59,0.073,0.039,112,58,0.076,0.039,48,42,0.155,0.139,34,44,0.11,0.144,9,26,0.034,0.099,39,35,0.149,0.136
"Washington",3562,22,671,135,0.188,0.038,702,138,0.197,0.039,321,145,0.09,0.041,3147,160,0.883,0.045,34,58,0.01,0.016,60,55,0.017,0.015,1110,116,0.768,0.044,307,112,0.086,0.031,3328,126,187,96,0.056,0.029,190,123,0.057,0.037,28,49,0.047,0.082,54,64,0.091,0.109,68,57,0.097,0.083,38,40,0.054,0.058
"Watertown",22387,25,4741,490,0.212,0.022,3747,381,0.167,0.017,752,329,0.034,0.015,20819,439,0.93,0.02,308,225,0.014,0.01,508,218,0.023,0.01,7264,330,0.837,0.025,1565,237,0.07,0.011,22199,115,723,233,0.033,0.011,1862,450,0.084,0.02,45,76,0.01,0.016,344,161,0.074,0.035,256,124,0.07,0.035,718,200,0.197,0.059
"Winchester",11150,32,2354,390,0.211,0.035,1793,272,0.161,0.024,1141,507,0.102,0.045,9332,533,0.837,0.048,133,120,0.012,0.011,544,301,0.049,0.027,2806,291,0.604,0.051,866,350,0.078,0.031,10996,91,765,275,0.07,0.025,1817,521,0.165,0.047,165,113,0.072,0.051,447,236,0.196,0.109,122,85,0.07,0.051,470,161,0.271,0.104
"Woodbury",9910,32,2078,283,0.21,0.029,1736,240,0.175,0.024,365,145,0.037,0.015,9328,172,0.941,0.018,19,24,0.002,0.002,198,126,0.02,0.013,3216,179,0.78,0.031,767,262,0.077,0.026,9910,32,582,228,0.059,0.023,869,285,0.088,0.029,98,75,0.047,0.037,227,124,0.109,0.061,43,52,0.025,0.03,259,101,0.149,0.062
"Chester",4154,16,881,177,0.212,0.043,898,168,0.216,0.041,140,109,0.034,0.026,3877,143,0.933,0.035,30,31,0.007,0.007,107,68,0.026,0.016,1240,141,0.695,0.064,111,61,0.027,0.015,4043,72,203,95,0.05,0.024,387,162,0.096,0.04,18,45,0.02,0.051,65,85,0.074,0.098,17,33,0.022,0.042,176,79,0.223,0.109
"Clinton",13239,31,2810,323,0.212,0.024,2094,218,0.158,0.016,660,386,0.05,0.029,12061,445,0.911,0.034,23,25,0.002,0.002,495,246,0.037,0.019,4329,212,0.816,0.027,922,240,0.07,0.018,13133,84,1005,332,0.077,0.025,1638,443,0.125,0.034,241,109,0.089,0.041,303,140,0.111,0.053,134,75,0.064,0.036,346,114,0.166,0.057
"Cromwell",14076,21,2730,329,0.194,0.023,2416,260,0.172,0.018,609,240,0.043,0.017,11880,523,0.844,0.037,1015,434,0.072,0.031,572,227,0.041,0.016,4505,213,0.827,0.023,1358,392,0.096,0.028,13630,154,566,273,0.042,0.02,1263,403,0.093,0.03,49,57,0.018,0.021,196,124,0.072,0.046,108,67,0.052,0.033,332,112,0.16,0.057
"Deep River",4615,19,880,186,0.191,0.04,748,156,0.162,0.034,110,97,0.024,0.021,4266,153,0.924,0.033,107,93,0.023,0.02,132,100,0.029,0.022,1592,112,0.83,0.027,365,139,0.079,0.03,4587,26,130,83,0.028,0.018,734,413,0.16,0.09,0,36,0,0.042,234,145,0.271,0.177,1,27,0.001,0.036,155,91,0.207,0.13
"Durham",7380,26,1919,286,0.26,0.039,1090,207,0.148,0.028,252,186,0.034,0.025,6932,235,0.939,0.032,18,18,0.002,0.002,178,125,0.024,0.017,2426,144,0.952,0.023,366,146,0.05,0.02,7327,63,69,54,0.009,0.007,259,187,0.035,0.026,22,60,0.011,0.031,67,93,0.035,0.049,15,44,0.014,0.042,65,79,0.061,0.076
"East Haddam",9138,19,2284,296,0.25,0.032,1157,203,0.127,0.022,233,265,0.025,0.029,8646,309,0.946,0.034,71,80,0.008,0.009,188,135,0.021,0.015,2991,216,0.864,0.047,244,98,0.027,0.011,9031,69,505,314,0.056,0.035,679,269,0.075,0.03,233,165,0.102,0.073,176,114,0.077,0.051,31,45,0.028,0.041,126,72,0.114,0.069
"East Hampton",12949,22,2912,328,0.225,0.025,1421,224,0.11,0.017,678,305,0.052,0.024,11524,346,0.89,0.027,48,37,0.004,0.003,699,244,0.054,0.019,4270,235,0.883,0.031,852,260,0.066,0.02,12463,169,434,180,0.035,0.014,714,267,0.057,0.021,93,85,0.033,0.03,136,112,0.048,0.04,50,47,0.036,0.034,273,133,0.197,0.1
"Essex",6668,20,1324,261,0.199,0.039,1697,269,0.254,0.04,53,66,0.008,0.01,6461,140,0.969,0.021,33,52,0.005,0.008,121,90,0.018,0.013,2259,209,0.772,0.051,355,148,0.053,0.022,6616,40,342,197,0.052,0.03,442,207,0.067,0.031,45,67,0.034,0.051,76,85,0.057,0.065,94,95,0.057,0.058,196,103,0.118,0.064
"Haddam",8343,26,1913,307,0.229,0.037,1142,212,0.137,0.025,202,166,0.024,0.02,7778,287,0.932,0.035,27,45,0.003,0.005,336,227,0.04,0.027,2968,209,0.918,0.047,463,214,0.055,0.026,8330,41,324,222,0.039,0.027,401,281,0.048,0.034,135,110,0.071,0.059,120,149,0.063,0.078,0,42,0,0.036,121,90,0.106,0.082
"Killingworth",6501,25,1425,232,0.219,0.036,1119,231,0.172,0.035,161,113,0.025,0.017,5969,205,0.918,0.032,0,17,0,0.003,371,162,0.057,0.025,2521,107,0.976,NA,280,121,0.043,0.019,6501,25,21,37,0.003,0.006,385,201,0.059,0.031,0,51,0,0.036,97,107,0.068,0.076,21,50,0.019,0.045,194,105,0.173,0.101
"Middlefield",4421,21,1031,172,0.233,0.039,612,122,0.138,0.028,100,72,0.023,0.016,4163,140,0.942,0.032,18,25,0.004,0.006,140,136,0.032,0.031,1506,120,0.886,0.049,139,77,0.031,0.017,4419,21,125,55,0.028,0.013,426,177,0.096,0.04,9,37,0.009,0.036,102,75,0.099,0.074,41,37,0.067,0.062,143,64,0.234,0.115
"Middletown",47539,41,8646,557,0.182,0.012,6414,457,0.135,0.01,4513,586,0.095,0.012,33293,824,0.7,0.017,5807,512,0.122,0.011,3926,537,0.083,0.011,10812,411,0.554,0.017,5275,595,0.111,0.013,43669,363,5121,685,0.117,0.016,5622,809,0.129,0.019,1313,314,0.154,0.038,1089,266,0.128,0.032,431,126,0.072,0.022,1359,247,0.226,0.044
"Old Saybrook",10258,26,2281,317,0.222,0.031,2899,311,0.283,0.03,69,88,0.007,0.009,9756,200,0.951,0.02,27,41,0.003,0.004,406,177,0.04,0.017,3641,255,0.848,0.047,472,139,0.046,0.014,10094,56,546,271,0.054,0.027,1332,503,0.132,0.05,100,135,0.044,0.06,431,243,0.19,0.111,173,104,0.062,0.038,336,141,0.121,0.053
"Portland",9487,25,1942,285,0.205,0.03,1559,216,0.164,0.023,359,216,0.038,0.023,8894,246,0.937,0.026,17,28,0.002,0.003,217,139,0.023,0.015,3111,187,0.817,0.034,423,148,0.045,0.016,9415,36,483,229,0.051,0.024,519,168,0.055,0.018,31,64,0.016,0.033,60,68,0.031,0.035,65,59,0.043,0.04,213,87,0.142,0.062
"Westbrook",6922,22,1208,237,0.175,0.034,1339,238,0.193,0.034,187,153,0.027,0.022,6383,273,0.922,0.04,40,75,0.006,0.011,312,242,0.045,0.035,2225,197,0.803,0.042,488,206,0.07,0.03,6858,70,333,181,0.049,0.026,1204,483,0.176,0.07,16,55,0.014,0.047,141,135,0.121,0.118,25,48,0.019,0.036,413,177,0.308,0.142
"Ansonia",19163,27,4311,603,0.225,0.031,2674,322,0.14,0.017,3595,685,0.188,0.036,12723,793,0.664,0.041,2011,743,0.105,0.039,834,333,0.044,0.017,3955,342,0.541,0.038,2234,526,0.117,0.027,19078,88,3540,948,0.186,0.05,3075,837,0.161,0.044,1409,488,0.327,0.121,778,293,0.18,0.072,330,131,0.127,0.052,539,153,0.207,0.063
"Beacon Falls",6038,33,1362,258,0.226,0.043,790,169,0.131,0.028,425,364,0.07,0.06,5474,370,0.907,0.061,0,17,0,0.003,139,118,0.023,0.02,1889,154,0.825,0.038,490,158,0.081,0.026,6038,33,189,133,0.031,0.022,450,204,0.075,0.034,49,72,0.036,0.054,132,106,0.097,0.081,24,44,0.03,0.056,110,84,0.139,0.11
"Bethany",5555,31,1416,202,0.255,0.036,722,129,0.13,0.023,34,26,0.006,0.005,5340,104,0.961,0.019,13,20,0.002,0.004,168,87,0.03,0.016,1808,95,0.915,0.022,360,120,0.065,0.022,5555,31,186,89,0.033,0.016,149,84,0.027,0.015,33,58,0.023,0.041,44,62,0.031,0.044,37,44,0.051,0.062,64,52,0.089,0.074
"Branford",28025,26,4973,464,0.177,0.017,5718,449,0.204,0.016,1418,421,0.051,0.015,24526,492,0.875,0.018,292,135,0.01,0.005,1789,426,0.064,0.015,8401,351,0.689,0.023,2433,355,0.087,0.013,27837,105,1995,436,0.072,0.016,2449,481,0.088,0.017,567,216,0.114,0.045,416,162,0.084,0.033,283,115,0.051,0.021,1058,229,0.19,0.044
"Cheshire",29264,44,6482,506,0.222,0.017,4150,371,0.142,0.013,1826,528,0.062,0.018,23745,682,0.811,0.023,1261,214,0.043,0.007,2432,478,0.083,0.016,8492,318,0.878,0.023,2853,481,0.097,0.016,26668,318,663,211,0.025,0.008,995,259,0.037,0.01,65,84,0.01,0.014,120,100,0.019,0.016,161,88,0.041,0.023,390,128,0.099,0.034
"Derby",12841,41,2733,410,0.213,0.032,1951,272,0.152,0.021,2674,490,0.208,0.038,8581,588,0.668,0.046,916,503,0.071,0.039,670,336,0.052,0.026,2892,251,0.568,0.038,2268,457,0.177,0.036,12615,114,1675,627,0.133,0.05,1838,638,0.146,0.051,691,312,0.253,0.12,468,246,0.171,0.094,150,78,0.085,0.046,375,168,0.212,0.1
"East Haven",29167,42,5623,535,0.193,0.018,5066,405,0.174,0.014,2914,633,0.1,0.022,23916,904,0.82,0.031,793,380,0.027,0.013,1544,448,0.053,0.015,8454,325,0.743,0.019,2874,572,0.099,0.02,28892,142,2835,620,0.098,0.021,3763,769,0.13,0.027,905,278,0.162,0.052,889,281,0.159,0.052,218,90,0.045,0.019,984,218,0.201,0.047
"Guilford",22377,27,4952,466,0.221,0.021,4238,351,0.189,0.016,995,436,0.044,0.019,20381,616,0.911,0.028,225,135,0.01,0.006,776,274,0.035,0.012,7609,306,0.856,0.023,1323,328,0.059,0.015,22185,111,824,229,0.037,0.01,1282,356,0.058,0.016,189,99,0.038,0.02,274,155,0.056,0.032,160,81,0.039,0.02,420,135,0.102,0.034
"Hamden",61468,38,11929,740,0.194,0.012,8577,585,0.14,0.01,5401,925,0.088,0.015,40189,1016,0.654,0.017,11290,740,0.184,0.012,4588,716,0.075,0.012,15229,534,0.662,0.017,7749,864,0.126,0.014,56720,594,4627,867,0.082,0.015,6859,944,0.121,0.017,910,311,0.077,0.027,1933,420,0.164,0.037,554,173,0.068,0.022,1533,273,0.188,0.036
"Madison",18289,38,4954,449,0.271,0.025,3651,383,0.2,0.021,234,122,0.013,0.007,17433,211,0.953,0.012,69,48,0.004,0.003,553,166,0.03,0.009,5842,213,0.875,0.008,959,219,0.052,0.012,18019,76,515,362,0.029,0.02,1347,336,0.075,0.019,102,142,0.021,0.03,201,107,0.042,0.023,6,44,0.002,0.012,538,178,0.151,0.053
"Meriden",60691,71,13322,791,0.22,0.013,8422,532,0.139,0.009,17631,1031,0.291,0.017,35167,1153,0.579,0.019,5277,857,0.087,0.014,2616,684,0.043,0.011,14785,584,0.618,0.02,5886,850,0.097,0.014,59689,213,8618,1130,0.144,0.019,11243,1240,0.188,0.021,3062,478,0.234,0.039,3347,499,0.255,0.041,502,146,0.064,0.019,1702,302,0.219,0.041
"Middlebury",7550,38,1665,222,0.221,0.029,1356,193,0.18,0.026,180,118,0.024,0.016,6572,373,0.87,0.05,96,77,0.013,0.01,702,380,0.093,0.05,2478,116,0.892,0.024,870,258,0.115,0.034,7498,71,272,100,0.036,0.013,661,299,0.088,0.04,17,61,0.01,0.037,162,113,0.097,0.069,46,42,0.035,0.033,154,83,0.118,0.066
"Milford",52894,44,10752,642,0.203,0.012,8503,507,0.161,0.01,2622,528,0.05,0.01,44748,953,0.846,0.018,1306,467,0.025,0.009,4218,693,0.08,0.013,16120,480,0.767,0.017,5267,601,0.1,0.011,52496,130,2783,507,0.053,0.01,5480,846,0.104,0.016,624,190,0.059,0.018,1302,318,0.122,0.031,534,165,0.065,0.02,1634,286,0.198,0.037
"Naugatuck",31786,23,7175,659,0.226,0.021,4367,471,0.137,0.015,3697,637,0.116,0.02,25006,897,0.787,0.028,1356,486,0.043,0.015,1727,526,0.054,0.017,8140,472,0.662,0.032,3917,691,0.123,0.022,31391,196,3116,706,0.099,0.022,3974,794,0.127,0.025,898,307,0.128,0.045,915,268,0.131,0.04,349,153,0.083,0.038,1013,246,0.242,0.064
"New Haven",130338,89,28708,1110,0.22,0.009,13140,743,0.101,0.006,33663,1690,0.258,0.013,43033,1492,0.33,0.011,42932,1680,0.329,0.013,10710,984,0.082,0.008,15554,719,0.311,0.013,20708,1390,0.159,0.011,121147,1024,32135,2147,0.265,0.018,26395,2085,0.218,0.017,10653,925,0.374,0.036,6831,748,0.24,0.028,1865,293,0.148,0.025,3662,444,0.291,0.039
"North Branford",14383,21,3098,415,0.215,0.029,2481,318,0.172,0.022,353,331,0.025,0.023,13662,411,0.95,0.029,100,136,0.007,0.009,268,200,0.019,0.014,4753,212,0.879,0.026,584,264,0.041,0.018,14301,82,426,230,0.03,0.016,1413,549,0.099,0.038,80,86,0.026,0.028,470,228,0.154,0.077,117,106,0.048,0.044,439,190,0.18,0.081
"North Haven",24011,27,4686,414,0.195,0.017,4827,391,0.201,0.016,974,333,0.041,0.014,21058,492,0.877,0.021,638,246,0.027,0.01,1341,299,0.056,0.012,7464,289,0.849,0.023,2276,461,0.095,0.019,23853,99,923,276,0.039,0.012,1387,407,0.058,0.017,169,100,0.036,0.022,283,171,0.061,0.037,222,107,0.047,0.023,551,161,0.117,0.035
"Orange",13934,37,3262,321,0.234,0.023,2589,249,0.186,0.018,736,283,0.053,0.02,11921,427,0.856,0.031,150,94,0.011,0.007,1127,299,0.081,0.021,4230,204,0.869,0.03,1622,287,0.116,0.021,13870,41,337,156,0.024,0.011,624,199,0.045,0.014,24,60,0.007,0.018,83,83,0.025,0.025,131,72,0.052,0.029,346,109,0.137,0.045
"Oxford",12736,19,3086,396,0.242,0.031,1585,270,0.124,0.021,559,276,0.044,0.022,11831,329,0.929,0.026,34,53,0.003,0.004,312,212,0.024,0.017,3979,195,0.899,0.03,741,198,0.058,0.016,12719,25,505,313,0.04,0.025,527,248,0.041,0.019,125,129,0.041,0.042,128,122,0.042,0.04,77,87,0.049,0.055,132,92,0.083,0.059
"Prospect",9520,23,1963,309,0.206,0.032,1489,244,0.156,0.026,204,123,0.021,0.013,8876,251,0.932,0.026,272,175,0.029,0.018,168,130,0.018,0.014,2963,204,0.917,0.046,643,176,0.068,0.018,9318,125,350,147,0.038,0.016,565,200,0.061,0.021,60,68,0.032,0.037,66,75,0.035,0.04,85,50,0.062,0.038,196,80,0.142,0.064
"Seymour",16535,24,3746,414,0.227,0.025,2086,269,0.126,0.016,1126,299,0.068,0.018,13904,697,0.841,0.042,676,493,0.041,0.03,829,367,0.05,0.022,4701,270,0.763,0.028,1454,338,0.088,0.02,16358,112,1182,454,0.072,0.028,1470,374,0.09,0.023,254,183,0.069,0.05,319,146,0.087,0.041,167,106,0.084,0.055,484,150,0.244,0.083
"Southbury",19864,26,4220,416,0.212,0.021,5560,493,0.28,0.025,688,310,0.035,0.016,18082,505,0.91,0.025,305,257,0.015,0.013,789,303,0.04,0.015,6891,306,0.857,0.024,1410,326,0.071,0.016,19492,153,1150,554,0.059,0.028,2030,520,0.104,0.027,135,118,0.032,0.029,390,182,0.093,0.045,433,269,0.082,0.052,885,289,0.168,0.057
"Wallingford",45112,43,9404,622,0.208,0.014,7614,523,0.169,0.012,4619,841,0.102,0.019,37957,927,0.841,0.021,625,306,0.014,0.007,1911,443,0.042,0.01,12702,383,0.747,0.016,4937,670,0.109,0.015,44154,193,2684,566,0.061,0.013,3709,604,0.084,0.014,776,224,0.083,0.025,702,186,0.075,0.021,206,95,0.03,0.014,1011,193,0.145,0.03
"Waterbury",110052,40,27646,1149,0.251,0.01,13865,678,0.126,0.006,37207,1551,0.338,0.014,47786,1543,0.434,0.014,19630,1241,0.178,0.011,5429,825,0.049,0.007,19712,763,0.474,0.016,16059,1189,0.146,0.011,108171,288,25247,1998,0.233,0.018,22344,1739,0.207,0.016,9846,967,0.36,0.038,6568,701,0.24,0.028,1900,302,0.146,0.024,3585,418,0.276,0.035
"West Haven",55349,67,11947,830,0.216,0.015,6982,510,0.126,0.009,8992,1280,0.162,0.023,31198,1299,0.564,0.023,11452,1165,0.207,0.021,3707,744,0.067,0.013,11863,567,0.568,0.022,8119,950,0.147,0.017,52755,397,6112,1127,0.116,0.021,10106,1303,0.192,0.025,1967,453,0.166,0.04,2956,531,0.249,0.048,517,154,0.077,0.024,1532,261,0.229,0.043
"Wolcott",16688,24,3572,411,0.214,0.025,2542,301,0.152,0.018,1153,470,0.069,0.028,14891,546,0.892,0.033,226,146,0.014,0.009,418,251,0.025,0.015,5255,250,0.879,0.028,1342,333,0.08,0.02,16517,121,477,234,0.029,0.014,1071,338,0.065,0.02,96,95,0.027,0.027,214,118,0.061,0.034,93,75,0.038,0.031,522,163,0.215,0.072
"Woodbridge",8981,24,2089,305,0.233,0.034,1756,259,0.196,0.029,152,126,0.017,0.014,7787,316,0.867,0.035,127,98,0.014,0.011,915,306,0.102,0.034,2803,146,0.891,0.016,1381,416,0.154,0.046,8875,77,233,236,0.026,0.027,540,251,0.061,0.028,50,62,0.024,0.03,179,125,0.086,0.061,31,50,0.019,0.03,158,83,0.096,0.052
"Bozrah",2618,42,578,102,0.221,0.039,387,71,0.148,0.027,90,77,0.034,0.029,2361,125,0.902,0.05,49,35,0.019,0.013,118,87,0.045,0.033,803,85,0.79,0.065,99,46,0.038,0.018,2609,44,154,103,0.059,0.04,281,148,0.108,0.057,48,53,0.083,0.093,94,74,0.163,0.131,21,31,0.056,0.082,38,40,0.101,0.107
"Colchester",16119,21,4202,388,0.261,0.024,1794,259,0.111,0.016,463,194,0.029,0.012,15074,352,0.935,0.022,182,161,0.011,0.01,400,227,0.025,0.014,4697,236,0.811,0.025,746,211,0.046,0.013,15922,129,514,266,0.032,0.017,1412,427,0.089,0.027,197,134,0.047,0.032,540,202,0.129,0.05,21,53,0.013,0.033,167,97,0.103,0.061
"East Lyme",19119,33,3638,364,0.19,0.019,3646,310,0.191,0.016,1380,289,0.072,0.015,15392,437,0.805,0.023,858,199,0.045,0.01,1489,268,0.078,0.014,5822,258,0.816,0.028,1706,257,0.089,0.013,17108,207,569,186,0.033,0.011,1274,264,0.074,0.015,57,62,0.016,0.017,206,109,0.057,0.031,133,76,0.038,0.022,455,114,0.129,0.034
"Franklin",1950,107,413,57,0.212,0.032,314,50,0.161,0.027,37,26,0.019,0.013,1850,108,0.949,0.076,0,12,0,0.006,63,42,0.032,0.021,629,46,0.864,0.039,65,38,0.033,0.02,1939,107,79,40,0.041,0.02,162,65,0.084,0.033,9,33,0.022,0.083,44,41,0.109,0.104,29,31,0.092,0.099,56,32,0.178,0.104
"Griswold",11959,38,2628,390,0.22,0.033,1352,225,0.113,0.019,736,424,0.062,0.035,10412,495,0.871,0.041,42,45,0.004,0.004,769,364,0.064,0.03,3394,299,0.722,0.046,590,274,0.049,0.023,11908,73,986,347,0.083,0.029,1945,583,0.163,0.049,179,164,0.069,0.064,590,294,0.227,0.118,112,75,0.084,0.058,313,148,0.234,0.117
